pathway_name,pathway_id,pathway_url,gene_symbol,ensg_id,chembl_id,drug_name,phase,status,disease_id,disease_name,mechanismOfAction,smiles
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL4558324,LAZERTINIB,3.0,,EFO_0000616,neoplasm,,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL4761468,AUMOLERTINIB,3.0,,EFO_0000616,neoplasm,,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL180022,NERATINIB,3.0,,EFO_0000616,neoplasm,,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL2087361,ICOTINIB,3.0,,EFO_0000616,neoplasm,,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL554,LAPATINIB,3.0,,EFO_0000616,neoplasm,,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL2107863,RINDOPEPIMUT,3.0,Completed,EFO_0000519,glioblastoma multiforme,,
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL3545308,ROCILETINIB,3.0,,EFO_0000616,neoplasm,,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL3545154,POZIOTINIB,3.0,Suspended,EFO_0003060,non-small cell lung carcinoma,,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL3647420,PYROTINIB,3.0,"Active, not recruiting",EFO_0003060,non-small cell lung carcinoma,,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/[C@H]1CCCN1C
Signaling by ERBB2,R-HSA-1227986,https://reactome.org/PathwayBrowser/#/R-HSA-1227986,EGFR,ENSG00000146648,CHEMBL3663929,NAQUOTINIB,3.0,Terminated,EFO_0003060,non-small cell lung carcinoma,,C=CC(=O)N1CC[C@@H](Oc2nc(Nc3ccc(N4CCC(N5CCN(C)CC5)CC4)cc3)c(C(N)=O)nc2CC)C1
