pathway_name,pathway_id,pathway_url,gene_symbol,ensg_id,chembl_id,drug_name,phase,status,disease_id,disease_name,mechanismOfAction,smiles
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,LCK,ENSG00000182866,CHEMBL477772,PAZOPANIB,3.0,"Active, not recruiting",EFO_0000349,clear cell renal carcinoma,,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,LCK,ENSG00000182866,CHEMBL52885,ENMD-981693,2.0,Completed,EFO_0002618,pancreatic carcinoma,,Cn1cc(C2=C(c3cn(C)c4cc([N+](=O)[O-])ccc34)C(=O)NC2=O)c2ccccc21
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,LCK,ENSG00000182866,CHEMBL403989,TG100-801,2.0,Terminated,EFO_0009606,macular degeneration,,Cc1cc(-c2cc(OC(=O)c3ccccc3)ccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,LCK,ENSG00000182866,CHEMBL1980297,ILORASERTIB,2.0,Terminated,MONDO_0004992,cancer,,Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,LCK,ENSG00000182866,CHEMBL3545085,XL-228,1.0,Terminated,EFO_0000220,acute lymphoblastic leukemia,,CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,LCK,ENSG00000182866,CHEMBL3109738,JNJ-26483327,1.0,Completed,MONDO_0004992,cancer,,COc1cc2ncnc3c2cc1OCCCCCN(C)Cc1ccc(Br)cc1N3
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL2103868,CABOZANTINIB S-MALATE,4.0,,EFO_0000182,hepatocellular carcinoma,,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC.O=C(O)C[C@H](O)C(=O)O
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL3188267,CAPMATINIB,4.0,,EFO_0000616,neoplasm,,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL3402762,TEPOTINIB,4.0,,EFO_0000616,neoplasm,,CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL4297774,AMIVANTAMAB,4.0,,EFO_0000616,neoplasm,,
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL2105717,CABOZANTINIB,4.0,,EFO_0000616,neoplasm,,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL601719,CRIZOTINIB,4.0,,EFO_0000616,neoplasm,,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL4594292,TEPOTINIB HYDROCHLORIDE,4.0,,EFO_0003060,non-small cell lung carcinoma,,CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1.Cl.O
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL3989937,CAPMATINIB HYDROCHLORIDE,4.0,,EFO_0003060,non-small cell lung carcinoma,,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F.Cl.Cl.O
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL2103882,TIVANTINIB,3.0,Completed,EFO_0000182,hepatocellular carcinoma,,O=C1NC(=O)[C@@H](c2cn3c4c(cccc24)CCC3)[C@@H]1c1c[nH]c2ccccc12
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL1743051,ONARTUZUMAB,3.0,Completed,EFO_0000616,neoplasm,,
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL3334567,SAVOLITINIB,3.0,Recruiting,EFO_0000640,papillary renal cell carcinoma,,C[C@@H](c1ccc2nccn2c1)n1nnc2ncc(-c3cnn(C)c3)nc21
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL3990032,TELISOTUZUMAB VEDOTIN,3.0,Recruiting,EFO_0003060,non-small cell lung carcinoma,,
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL3785909,AMG-337,2.0,Withdrawn,EFO_0000616,neoplasm,,COCCOc1cnc2ccn([C@H](C)c3nnc4c(F)cc(-c5cnn(C)c5)cn34)c(=O)c2c1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL1230609,FORETINIB,2.0,Completed,EFO_0000681,renal cell carcinoma,,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL2103851,AMUVATINIB,2.0,Completed,EFO_0000702,small cell lung carcinoma,,S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL4461070,SAR-125844,2.0,Completed,EFO_0000616,neoplasm,,O=C(NCCN1CCOCC1)Nc1nc2ccc(Sc3nnc4ccc(-c5ccc(F)cc5)nn34)cc2s1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL3301578,EMIBETUZUMAB,2.0,"Active, not recruiting",EFO_0003060,non-small cell lung carcinoma,,
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL3984441,NINGETINIB,2.0,Terminated,EFO_0003060,non-small cell lung carcinoma,,Cc1c(C(=O)Nc2ccc(Oc3ccnc4cc(OCC(C)(C)O)ccc34)c(F)c2)c(=O)n(-c2ccccc2)n1C
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL3989914,GLESATINIB,2.0,Completed,EFO_0003060,non-small cell lung carcinoma,,COCCNCc1ccc(-c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccc(F)cc5)cc4F)c3s2)nc1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL3545307,MERESTINIB,2.0,Terminated,EFO_0003060,non-small cell lung carcinoma,,Cc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL4650326,TEREVALEFIM,2.0,Unknown status,HP_0001919,Acute kidney injury,,C(=C/c1cccs1)\c1cc[nH]n1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL496102,AMG-208,2.0,Withdrawn,MONDO_0008315,prostate cancer,,COc1ccc2c(OCc3nnc4ccc(-c5ccccc5)nn34)ccnc2c1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL3039525,GOLVATINIB,1.0,Completed,EFO_0000616,neoplasm,,CN1CCN(C2CCN(C(=O)Nc3cc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)c(F)c4)ccn3)CC2)CC1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL3545236,BPI-9016,1.0,Completed,EFO_0000616,neoplasm,,
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL460702,BMS-777607,1.0,Completed,EFO_0000616,neoplasm,,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL3545419,TELISOTUZUMAB,1.0,Completed,EFO_0000616,neoplasm,,
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL3960488,EMD-1204831,1.0,Terminated,EFO_0000616,neoplasm,,Cn1cc(-c2ccc(=O)n(Cc3cccc(-c4ncc(OCCN5CCOCC5)cn4)c3)n2)cn1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL1822792,MK-2461,1.0,Completed,EFO_0000616,neoplasm,,CN(C[C@@H]1COCCO1)S(=O)(=O)Nc1ccc2ccc3ncc(-c4cnn(C)c4)cc3c(=O)c2c1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL2001019,PF-04217903,1.0,Terminated,EFO_0000616,neoplasm,,OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL2133806,JNJ-38877605,1.0,Terminated,EFO_0000616,neoplasm,,Cn1cc(-c2ccc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL3545050,BMS-817378,1.0,Withdrawn,EFO_0000616,neoplasm,,
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL3545365,ALTIRATINIB,1.0,Terminated,EFO_0000616,neoplasm,,O=C(Nc1cc(Oc2cc(F)c(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1)C1CC1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL1236107,SGX-523,1.0,Terminated,MONDO_0004992,cancer,,Cn1cc(-c2ccc3nnc(Sc4ccc5ncccc5c4)n3n2)cn1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,MET,ENSG00000105976,CHEMBL2323775,MK-8033,1.0,Completed,MONDO_0004992,cancer,,Cn1cc(-c2cnc3ccc4ccc(CS(=O)(=O)NCc5ccccn5)cc4c(=O)c3c2)cn1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,NTRK3,ENSG00000140538,CHEMBL3989939,LAROTRECTINIB SULFATE,4.0,,EFO_0000616,neoplasm,,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1.O=S(=O)(O)O
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,NTRK3,ENSG00000140538,CHEMBL1983268,ENTRECTINIB,4.0,,EFO_0000616,neoplasm,,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,NTRK3,ENSG00000140538,CHEMBL3889654,LAROTRECTINIB,4.0,,EFO_0000616,neoplasm,,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,NTRK3,ENSG00000140538,CHEMBL4297852,CENEGERMIN,4.0,,EFO_0009449,keratitis,,
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,NTRK3,ENSG00000140538,CHEMBL603469,LESTAURTINIB,3.0,"Active, not recruiting",EFO_0000220,acute lymphoblastic leukemia,,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,NTRK3,ENSG00000140538,CHEMBL4298138,REPOTRECTINIB,3.0,Recruiting,EFO_0003060,non-small cell lung carcinoma,,C[C@H]1CNC(=O)c2cnn3ccc(nc23)N[C@H](C)c2cc(F)ccc2O1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,NTRK3,ENSG00000140538,CHEMBL4650989,TALETRECTINIB,2.0,Recruiting,EFO_0000616,neoplasm,,C[C@@H](N)COc1ccc(-c2cnc3ccc(N[C@H](C)c4cccc(F)c4)nn23)cc1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,NTRK3,ENSG00000140538,CHEMBL3659497,AZD-7451,1.0,Completed,EFO_0000519,glioblastoma multiforme,,CC(C)Oc1cc(-n2cnc3ccc(N[C@@H](C)c4ncc(F)cn4)nc32)n[nH]1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,NTRK3,ENSG00000140538,CHEMBL4297627,SELITRECTINIB,1.0,Completed,EFO_0000616,neoplasm,,C[C@@H]1CCc2ncc(F)cc2[C@H]2CCCN2c2ccn3ncc(c3n2)C(=O)N1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,NTRK3,ENSG00000140538,CHEMBL3545365,ALTIRATINIB,1.0,Terminated,EFO_0000616,neoplasm,,O=C(Nc1cc(Oc2cc(F)c(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1)C1CC1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,NTRK3,ENSG00000140538,CHEMBL3545298,AZD-6918,1.0,Terminated,MONDO_0004992,cancer,,
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,NTRK3,ENSG00000140538,CHEMBL3545381,PLX-7486,1.0,Terminated,MONDO_0024686,"tenosynovial giant cell tumor, diffuse type",,
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL608533,MIDOSTAURIN,4.0,,EFO_0000222,acute myeloid leukemia,,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL4204794,AVAPRITINIB,4.0,,EFO_0000616,neoplasm,,Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL4216467,RIPRETINIB,4.0,,EFO_0000616,neoplasm,,CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL1743049,OLARATUMAB,4.0,,EFO_0000616,neoplasm,,
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL535,SUNITINIB,4.0,,EFO_0000681,renal cell carcinoma,,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL1201733,PAZOPANIB HYDROCHLORIDE,4.0,,EFO_0000691,sarcoma,,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O.Cl
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL3039504,NINTEDANIB ESYLATE,4.0,,EFO_0000768,idiopathic pulmonary fibrosis,,CCS(=O)(=O)O.COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL1908391,MASITINIB,4.0,,EFO_0000616,neoplasm,,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL1946170,REGORAFENIB,4.0,,EFO_0000616,neoplasm,,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL1567,SUNITINIB MALATE,4.0,,EFO_0000681,renal cell carcinoma,,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL1201556,BECAPLERMIN,4.0,,HP_0200042,Skin ulcer,,
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL223360,LINIFANIB,3.0,Terminated,EFO_0000182,hepatocellular carcinoma,,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL274654,ORANTINIB,3.0,Terminated,EFO_0000182,hepatocellular carcinoma,,Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL2105728,CRENOLANIB,3.0,Recruiting,EFO_0000222,acute myeloid leukemia,,CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL576982,QUIZARTINIB,3.0,Completed,EFO_0000222,acute myeloid leukemia,,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL477772,PAZOPANIB,3.0,"Active, not recruiting",EFO_0000349,clear cell renal carcinoma,,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL1278146,FAMITINIB,3.0,Completed,EFO_0000365,colorectal adenocarcinoma,,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL502835,NINTEDANIB,3.0,,EFO_0000616,neoplasm,,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL491473,CEDIRANIB,3.0,Completed,EFO_0000519,glioblastoma multiforme,,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL522892,DOVITINIB,3.0,Completed,EFO_0000681,renal cell carcinoma,,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL572881,MOTESANIB,3.0,Terminated,EFO_0003060,non-small cell lung carcinoma,,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL4650333,SERALUTINIB,3.0,Not yet recruiting,EFO_0001361,pulmonary arterial hypertension,,COc1ccc(-c2cncc(N[C@@H](C)c3cccc(NC(=O)c4cncc(C)c4)c3)n2)cc1OC
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL101253,VATALANIB,3.0,Completed,EFO_0004288,colonic neoplasm,,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL5314391,XL-999,2.0,Terminated,EFO_0000222,acute myeloid leukemia,,CCN1CCC(Nc2ccc3c(c2)/C(=C(\c2cccc(F)c2)c2nc(C)c[nH]2)C(=O)N3)CC1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",R-HSA-6811558,https://reactome.org/PathwayBrowser/#/R-HSA-6811558,PDGFRA,ENSG00000134853,CHEMBL2364651,TOVETUMAB,2.0,Completed,EFO_0000519,glioblastoma multiforme,,
