compound_key_inchikey,chembl_id,drug_name,smiles,smiles_stripped,inchikey_stripped,phase,status,source,gene_symbol,ensg_id,pathway_id,pathway_name,mechanismOfAction,disease_id,disease_name,pathway_url,is_known_aml_drug
JOOXLOJCABQBSG-UHFFFAOYSA-N,CHEMBL1287853,FEDRATINIB,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,JOOXLOJCABQBSG-UHFFFAOYSA-N,4.0,,protein,FLT3,,,,,EFO_0000616,neoplasm,,False
HWXVIOGONBBTBY-ONEGZZNKSA-N,CHEMBL2035187,PACRITINIB,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,HWXVIOGONBBTBY-ONEGZZNKSA-N,4.0,,protein,FLT3,,,,,EFO_0000616,neoplasm,,False
WINHZLLDWRZWRT-ATVHPVEESA-N,CHEMBL535,SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,WINHZLLDWRZWRT-ATVHPVEESA-N,4.0,Completed,protein,FLT3,,,,,EFO_0000681,renal cell carcinoma,,False
JGWRKYUXBBNENE-UHFFFAOYSA-N,CHEMBL3813873,PEXIDARTINIB,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,JGWRKYUXBBNENE-UHFFFAOYSA-N,4.0,,protein,FLT3,,,,,EFO_0000616,neoplasm,,False
JOOXLOJCABQBSG-UHFFFAOYSA-N,CHEMBL4297216,FEDRATINIB HYDROCHLORIDE,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1.Cl.Cl.O,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,JOOXLOJCABQBSG-UHFFFAOYSA-N,4.0,,protein,FLT3,,,,,EFO_0002430,primary myelofibrosis,,False
BAHHBHSHSRTKNK-BJILWQEISA-N,CHEMBL5095049,PACRITINIB CITRATE,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC/1.O=C(O)CC(O)(CC(=O)O)C(=O)O,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC/1.O=C(O)CC(O)(CC(=O)O)C(=O)O,BAHHBHSHSRTKNK-BJILWQEISA-N,4.0,,protein,FLT3,,,,,EFO_0002430,primary myelofibrosis,,False
LBWFXVZLPYTWQI-IPOVEDGCSA-N,CHEMBL1567,SUNITINIB MALATE,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,LBWFXVZLPYTWQI-IPOVEDGCSA-N,4.0,,protein,FLT3,,,,,EFO_0000681,renal cell carcinoma,,False
JGWRKYUXBBNENE-UHFFFAOYSA-N,CHEMBL3989973,PEXIDARTINIB HYDROCHLORIDE,Cl.FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,JGWRKYUXBBNENE-UHFFFAOYSA-N,4.0,,protein,FLT3,,,,,EFO_1000562,Tenosynovial Giant Cell Tumor,,False
MPVGZUGXCQEXTM-UHFFFAOYSA-N,CHEMBL223360,LINIFANIB,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,MPVGZUGXCQEXTM-UHFFFAOYSA-N,3.0,Terminated,protein,FLT3,,,,,EFO_0000182,hepatocellular carcinoma,,False
UIARLYUEJFELEN-LROUJFHJSA-N,CHEMBL603469,LESTAURTINIB,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,UIARLYUEJFELEN-LROUJFHJSA-N,3.0,"Active, not recruiting",protein,FLT3,,,,,EFO_0000220,acute lymphoblastic leukemia,,False
GKEYKDOLBLYGRB-LGMDPLHJSA-N,CHEMBL1278146,FAMITINIB,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O,GKEYKDOLBLYGRB-LGMDPLHJSA-N,3.0,Completed,protein,FLT3,,,,,EFO_0000365,colorectal adenocarcinoma,,False
PIQCTGMSNWUMAF-UHFFFAOYSA-N,CHEMBL522892,DOVITINIB,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,PIQCTGMSNWUMAF-UHFFFAOYSA-N,3.0,Completed,protein,FLT3,,,,,EFO_0000681,renal cell carcinoma,,False
BLQYVHBZHAISJM-CMDGGOBGSA-N,CHEMBL482968,ENMD-2076,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1,BLQYVHBZHAISJM-CMDGGOBGSA-N,2.0,Completed,protein,FLT3,,,,,EFO_0000182,hepatocellular carcinoma,,False
DMQYDVBIPXAAJA-VHXPQNKSSA-N,CHEMBL5314391,XL-999,CCN1CCC(Nc2ccc3c(c2)/C(=C(\c2cccc(F)c2)c2nc(C)c[nH]2)C(=O)N3)CC1,CCN1CCC(Nc2ccc3c(c2)/C(=C(\c2cccc(F)c2)c2nc(C)c[nH]2)C(=O)N3)CC1,DMQYDVBIPXAAJA-VHXPQNKSSA-N,2.0,Terminated,protein,FLT3,,,,,EFO_0000222,acute myeloid leukemia,,False
UXXQOJXBIDBUAC-UHFFFAOYSA-N,CHEMBL124660,TANDUTINIB,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,UXXQOJXBIDBUAC-UHFFFAOYSA-N,2.0,Completed,protein,FLT3,,,,,EFO_0000349,clear cell renal carcinoma,,False
CXQHYVUVSFXTMY-UHFFFAOYSA-N,CHEMBL1230609,FORETINIB,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,CXQHYVUVSFXTMY-UHFFFAOYSA-N,2.0,Completed,protein,FLT3,,,,,EFO_0000681,renal cell carcinoma,,False
FOFDIMHVKGYHRU-UHFFFAOYSA-N,CHEMBL2103851,AMUVATINIB,S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1,S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1,FOFDIMHVKGYHRU-UHFFFAOYSA-N,2.0,Completed,protein,FLT3,,,,,EFO_0000702,small cell lung carcinoma,,False
LOLPPWBBNUVNQZ-UHFFFAOYSA-N,CHEMBL495727,AT-9283,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,LOLPPWBBNUVNQZ-UHFFFAOYSA-N,2.0,Completed,protein,FLT3,,,,,EFO_0001378,multiple myeloma,,False
VQYYQSZNRVQLIS-UHFFFAOYSA-N,CHEMBL3984441,NINGETINIB,Cc1c(C(=O)Nc2ccc(Oc3ccnc4cc(OCC(C)(C)O)ccc34)c(F)c2)c(=O)n(-c2ccccc2)n1C,Cc1c(C(=O)Nc2ccc(Oc3ccnc4cc(OCC(C)(C)O)ccc34)c(F)c2)c(=O)n(-c2ccccc2)n1C,VQYYQSZNRVQLIS-UHFFFAOYSA-N,2.0,Terminated,protein,FLT3,,,,,EFO_0003060,non-small cell lung carcinoma,,False
CTNPALGJUAXMMC-PMFHANACSA-N,CHEMBL1721885,SU-014813,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,CTNPALGJUAXMMC-PMFHANACSA-N,2.0,Completed,protein,FLT3,,,,,EFO_0003869,breast neoplasm,,False
OVSKGTONMLKNPZ-UHFFFAOYSA-N,CHEMBL52885,ENMD-981693,Cn1cc(C2=C(c3cn(C)c4cc([N+](=O)[O-])ccc34)C(=O)NC2=O)c2ccccc21,Cn1cc(C2=C(c3cn(C)c4cc([N+](=O)[O-])ccc34)C(=O)NC2=O)c2ccccc21,OVSKGTONMLKNPZ-UHFFFAOYSA-N,2.0,Completed,protein,FLT3,,,,,EFO_0002618,pancreatic carcinoma,,False
VXBAJLGYBMTJCY-NSCUHMNNSA-N,CHEMBL1944698,ZOTIRACICLIB,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,VXBAJLGYBMTJCY-NSCUHMNNSA-N,1.0,Withdrawn,protein,FLT3,,,,,EFO_0000182,hepatocellular carcinoma,,False
HJFSVYUFOXAVAA-YUAYGMJFSA-N,CHEMBL4650283,FF-10101,CCCNc1nc(Nc2ccc(C#N)cc2)ncc1C#CCCCNC(=O)[C@H](C)N(C)C(=O)/C=C/CN(C)C,CCCNc1nc(Nc2ccc(C#N)cc2)ncc1C#CCCCNC(=O)[C@H](C)N(C)C(=O)/C=C/CN(C)C,HJFSVYUFOXAVAA-YUAYGMJFSA-N,1.0,Completed,protein,FLT3,,,,,EFO_0000222,acute myeloid leukemia,,False
JLRIJKVMMZEKDF-UHFFFAOYSA-N,CHEMBL4790100,AKN-028,Nc1ncc(-c2ccncc2)nc1Nc1ccc2[nH]ccc2c1,Nc1ncc(-c2ccncc2)nc1Nc1ccc2[nH]ccc2c1,JLRIJKVMMZEKDF-UHFFFAOYSA-N,1.0,Terminated,protein,FLT3,,,,,EFO_0000222,acute myeloid leukemia,,False
MAFACRSJGNJHCF-UHFFFAOYSA-N,CHEMBL5314406,4SC-203,COc1ccc(C)cc1NC(=O)Nc1nc2ccc(Nc3ncnc4cc(OCCCN5CCN(C)CC5)c(OC)cc34)cc2s1,COc1ccc(C)cc1NC(=O)Nc1nc2ccc(Nc3ncnc4cc(OCCCN5CCN(C)CC5)c(OC)cc34)cc2s1,MAFACRSJGNJHCF-UHFFFAOYSA-N,1.0,Completed,protein,FLT3,,,,,EFO_0000222,acute myeloid leukemia,,False
YYLKKYCXAOBSRM-JXMROGBWSA-N,CHEMBL1908397,KW-2449,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1,YYLKKYCXAOBSRM-JXMROGBWSA-N,1.0,Terminated,protein,FLT3,,,,,EFO_0000222,acute myeloid leukemia,,False
UOVCGJXDGOGOCZ-UHFFFAOYSA-N,CHEMBL1980391,RG-1530,COc1cc2c(cc1F)C(c1ccccc1Cl)=Nc1c(n[nH]c1C)N2,COc1cc2c(cc1F)C(c1ccccc1Cl)=Nc1c(n[nH]c1C)N2,UOVCGJXDGOGOCZ-UHFFFAOYSA-N,1.0,Completed,protein,FLT3,,,,,EFO_0000616,neoplasm,,False
WJEOLQLKVOPQFV-UHFFFAOYSA-N,CHEMBL1908391,MASITINIB,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,WJEOLQLKVOPQFV-UHFFFAOYSA-N,4.0,,protein,KIT,,,,,EFO_0000616,neoplasm,,False
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL1946170,REGORAFENIB,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,FNHKPVJBJVTLMP-UHFFFAOYSA-N,4.0,,protein,KIT,,,,,EFO_0000616,neoplasm,,False
WINHZLLDWRZWRT-ATVHPVEESA-N,CHEMBL535,SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,WINHZLLDWRZWRT-ATVHPVEESA-N,4.0,,protein,KIT,,,,,EFO_0000681,renal cell carcinoma,,False
CUIHSIWYWATEQL-UHFFFAOYSA-N,CHEMBL1201733,PAZOPANIB HYDROCHLORIDE,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O.Cl,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,CUIHSIWYWATEQL-UHFFFAOYSA-N,4.0,,protein,KIT,,,,,EFO_0000691,sarcoma,,False
LBWFXVZLPYTWQI-IPOVEDGCSA-N,CHEMBL1567,SUNITINIB MALATE,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,LBWFXVZLPYTWQI-IPOVEDGCSA-N,4.0,,protein,KIT,,,,,EFO_0000681,renal cell carcinoma,,False
SPMVMDHWKHCIDT-UHFFFAOYSA-N,CHEMBL2105756,TIVOZANIB HYDROCHLORIDE,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC.Cl.O,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,SPMVMDHWKHCIDT-UHFFFAOYSA-N,4.0,,protein,KIT,,,,,EFO_0000681,renal cell carcinoma,,False
JGWRKYUXBBNENE-UHFFFAOYSA-N,CHEMBL3813873,PEXIDARTINIB,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,JGWRKYUXBBNENE-UHFFFAOYSA-N,4.0,,protein,KIT,,,,,EFO_0000616,neoplasm,,False
DWYRIWUZIJHQKQ-SANMLTNESA-N,CHEMBL4204794,AVAPRITINIB,Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,DWYRIWUZIJHQKQ-SANMLTNESA-N,4.0,,protein,KIT,,,,,EFO_0000616,neoplasm,,False
CEFJVGZHQAGLHS-UHFFFAOYSA-N,CHEMBL4216467,RIPRETINIB,CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21,CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21,CEFJVGZHQAGLHS-UHFFFAOYSA-N,4.0,,protein,KIT,,,,,EFO_0000616,neoplasm,,False
JGWRKYUXBBNENE-UHFFFAOYSA-N,CHEMBL3989973,PEXIDARTINIB HYDROCHLORIDE,Cl.FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,JGWRKYUXBBNENE-UHFFFAOYSA-N,4.0,,protein,KIT,,,,,EFO_1000562,Tenosynovial Giant Cell Tumor,,False
KSMZEXLVHXZPEF-UHFFFAOYSA-N,CHEMBL4303201,CATEQUENTINIB,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ccnc2cc1OCC1(N)CC1,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ccnc2cc1OCC1(N)CC1,KSMZEXLVHXZPEF-UHFFFAOYSA-N,3.0,Not yet recruiting,protein,KIT,,,,,EFO_0000182,hepatocellular carcinoma,,False
GKEYKDOLBLYGRB-LGMDPLHJSA-N,CHEMBL1278146,FAMITINIB,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O,GKEYKDOLBLYGRB-LGMDPLHJSA-N,3.0,Completed,protein,KIT,,,,,EFO_0000365,colorectal adenocarcinoma,,False
XXJWYDDUDKYVKI-UHFFFAOYSA-N,CHEMBL491473,CEDIRANIB,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,XXJWYDDUDKYVKI-UHFFFAOYSA-N,3.0,Completed,protein,KIT,,,,,EFO_0000519,glioblastoma multiforme,,False
CUIHSIWYWATEQL-UHFFFAOYSA-N,CHEMBL477772,PAZOPANIB,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,CUIHSIWYWATEQL-UHFFFAOYSA-N,3.0,"Active, not recruiting",protein,KIT,,,,,EFO_0000349,clear cell renal carcinoma,,False
SPMVMDHWKHCIDT-UHFFFAOYSA-N,CHEMBL1289494,TIVOZANIB,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,SPMVMDHWKHCIDT-UHFFFAOYSA-N,3.0,,protein,KIT,,,,,EFO_0000616,neoplasm,,False
JHJNPOSPVGRIAN-SFHVURJKSA-N,CHEMBL4650333,SERALUTINIB,COc1ccc(-c2cncc(N[C@@H](C)c3cccc(NC(=O)c4cncc(C)c4)c3)n2)cc1OC,COc1ccc(-c2cncc(N[C@@H](C)c3cccc(NC(=O)c4cncc(C)c4)c3)n2)cc1OC,JHJNPOSPVGRIAN-SFHVURJKSA-N,3.0,Recruiting,protein,KIT,,,,,EFO_0001361,pulmonary arterial hypertension,,False
PIQCTGMSNWUMAF-UHFFFAOYSA-N,CHEMBL522892,DOVITINIB,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,PIQCTGMSNWUMAF-UHFFFAOYSA-N,3.0,Completed,protein,KIT,,,,,EFO_0000681,renal cell carcinoma,,False
RAHBGWKEPAQNFF-UHFFFAOYSA-N,CHEMBL572881,MOTESANIB,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,RAHBGWKEPAQNFF-UHFFFAOYSA-N,3.0,Terminated,protein,KIT,,,,,EFO_0003060,non-small cell lung carcinoma,,False
YCOYDOIWSSHVCK-UHFFFAOYSA-N,CHEMBL101253,VATALANIB,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,YCOYDOIWSSHVCK-UHFFFAOYSA-N,3.0,Completed,protein,KIT,,,,,EFO_0004288,colonic neoplasm,,False
WUWDLXZGHZSWQZ-WQLSENKSSA-N,CHEMBL276711,SEMAXANIB,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,WUWDLXZGHZSWQZ-WQLSENKSSA-N,3.0,Completed,protein,KIT,,,,,MONDO_0005575,colorectal cancer,,False
BLQYVHBZHAISJM-CMDGGOBGSA-N,CHEMBL482968,ENMD-2076,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1,BLQYVHBZHAISJM-CMDGGOBGSA-N,2.0,Completed,protein,KIT,,,,,EFO_0000182,hepatocellular carcinoma,,False
DMQYDVBIPXAAJA-VHXPQNKSSA-N,CHEMBL5314391,XL-999,CCN1CCC(Nc2ccc3c(c2)/C(=C(\c2cccc(F)c2)c2nc(C)c[nH]2)C(=O)N3)CC1,CCN1CCC(Nc2ccc3c(c2)/C(=C(\c2cccc(F)c2)c2nc(C)c[nH]2)C(=O)N3)CC1,DMQYDVBIPXAAJA-VHXPQNKSSA-N,2.0,Terminated,protein,KIT,,,,,EFO_0000222,acute myeloid leukemia,,False
UXXQOJXBIDBUAC-UHFFFAOYSA-N,CHEMBL124660,TANDUTINIB,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,UXXQOJXBIDBUAC-UHFFFAOYSA-N,2.0,Completed,protein,KIT,,,,,EFO_0000349,clear cell renal carcinoma,,False
CXQHYVUVSFXTMY-UHFFFAOYSA-N,CHEMBL1230609,FORETINIB,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,CXQHYVUVSFXTMY-UHFFFAOYSA-N,2.0,Completed,protein,KIT,,,,,EFO_0000616,neoplasm,,False
FOFDIMHVKGYHRU-UHFFFAOYSA-N,CHEMBL2103851,AMUVATINIB,S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1,S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1,FOFDIMHVKGYHRU-UHFFFAOYSA-N,2.0,Completed,protein,KIT,,,,,EFO_0000702,small cell lung carcinoma,,False
CTNPALGJUAXMMC-PMFHANACSA-N,CHEMBL1721885,SU-014813,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,CTNPALGJUAXMMC-PMFHANACSA-N,2.0,Completed,protein,KIT,,,,,EFO_0003869,breast neoplasm,,False
QFCXANHHBCGMAS-UHFFFAOYSA-N,CHEMBL2079588,TELATINIB,CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c3ccoc23)ccn1,CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c3ccoc23)ccn1,QFCXANHHBCGMAS-UHFFFAOYSA-N,2.0,Completed,protein,KIT,,,,,MONDO_0001056,gastric cancer,,False
FGTCROZDHDSNIO-UHFFFAOYSA-N,CHEMBL1614710,OSI-930,O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12,O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12,FGTCROZDHDSNIO-UHFFFAOYSA-N,1.0,Completed,protein,KIT,,,,,EFO_0000616,neoplasm,,False
WJEOLQLKVOPQFV-UHFFFAOYSA-N,CHEMBL1908391,MASITINIB,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,WJEOLQLKVOPQFV-UHFFFAOYSA-N,4.0,,protein,PDGFRB,,,,,EFO_0000616,neoplasm,,False
WINHZLLDWRZWRT-ATVHPVEESA-N,CHEMBL535,SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,WINHZLLDWRZWRT-ATVHPVEESA-N,4.0,Terminated,protein,PDGFRB,,,,,EFO_0000681,renal cell carcinoma,,False
CUIHSIWYWATEQL-UHFFFAOYSA-N,CHEMBL1201733,PAZOPANIB HYDROCHLORIDE,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O.Cl,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,CUIHSIWYWATEQL-UHFFFAOYSA-N,4.0,,protein,PDGFRB,,,,,EFO_0000681,renal cell carcinoma,,False
LBWFXVZLPYTWQI-IPOVEDGCSA-N,CHEMBL1567,SUNITINIB MALATE,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,LBWFXVZLPYTWQI-IPOVEDGCSA-N,4.0,Completed,protein,PDGFRB,,,,,EFO_0000681,renal cell carcinoma,,False
MMMVNAGRWOJNMW-FJBFXRHMSA-N,CHEMBL3039504,NINTEDANIB ESYLATE,CCS(=O)(=O)O.COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,CCS(=O)(=O)O.COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,MMMVNAGRWOJNMW-FJBFXRHMSA-N,4.0,,protein,PDGFRB,,,,,EFO_0000717,systemic scleroderma,,False
