chembl_id,pref_name,n_moa_rows,moa_actions,moa_text,moa_target_chembl_ids,n_assay_rows,n_unique_assays,n_unique_targets_assayed,has_moa,has_assay,n_unique_targets,target_chembl_ids,target_descriptions,target_uniprot_ids,n_unique_pathways,pathways,has_target_info,has_pathway_info
CHEMBL421669,PARETHOXYCAINE,1.0,,,,1.0,0.0,0.0,True,True,,,,,,,False,False
CHEMBL673,PARGYLINE,1.0,,,,55.0,55.0,5.0,True,True,5.0,CHEMBL1951; CHEMBL2039; CHEMBL2812; CHEMBL2993; CHEMBL3358,"Amine oxidase [flavin-containing] B; Amine oxidase [flavin-containing] A; Aldehyde dehydrogenase, mitochondrial",P27338; P19643; P21396; P11884; P21397,2.0,"map00260  Glycine, serine and threonine metabolism;map00350  Tyrosine metabolism;map00360  Phenylalanine metabolism;map00410  beta-Alanine metabolism;map00950  Isoquinoline alkaloid biosynthesis;map00960  Tropane, piperidine and pyridine alkaloid biosynthesis;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites;map00330  Arginine and proline metabolism;map00340  Histidine metabolism;map00380  Tryptophan metabolism;map00982  Drug metabolism - cytochrome P450; map00010  Glycolysis / Gluconeogenesis;map00053  Ascorbate and aldarate metabolism;map00071  Fatty acid degradation;map00280  Valine, leucine and isoleucine degradation;map00310  Lysine degradation;map00330  Arginine and proline metabolism;map00340  Histidine metabolism;map00380  Tryptophan metabolism;map00410  beta-Alanine metabolism;map00561  Glycerolipid metabolism;map00620  Pyruvate metabolism;map00625  Chloroalkane and chloroalkene degradation;map00770  Pantothenate and CoA biosynthesis;map00903  Limonene degradation;map00981  Insect hormone biosynthesis;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites;map01120  Microbial metabolism in diverse environments",True,True
CHEMBL1200622,PARICALCITOL,1.0,AGONIST,Vitamin D receptor agonist,CHEMBL1977,1.0,0.0,0.0,True,True,1.0,CHEMBL1977,Vitamin D3 receptor,P11473,0.0,,True,False
CHEMBL3391662,PARITAPREVIR,1.0,INHIBITOR,"Hepatitis C virus serine protease, NS3/NS4A inhibitor",CHEMBL2095231,1.0,0.0,0.0,True,True,1.0,CHEMBL2095231,"Hepatitis C virus serine protease, NS3/NS4A",A3EZI9,0.0,,True,False
CHEMBL490,PAROXETINE,1.0,,,,106.0,94.0,38.0,True,True,38.0,CHEMBL1821; CHEMBL1833; CHEMBL1916; CHEMBL1941; CHEMBL2035; CHEMBL210; CHEMBL2104; CHEMBL211; CHEMBL216; CHEMBL218; CHEMBL222; CHEMBL224; CHEMBL228; CHEMBL229; CHEMBL233; CHEMBL236; CHEMBL237; CHEMBL2370; CHEMBL238; CHEMBL240; CHEMBL2439; CHEMBL245; CHEMBL249; CHEMBL2799; CHEMBL2818; CHEMBL287; CHEMBL289; CHEMBL304; CHEMBL313; CHEMBL3371; CHEMBL338; CHEMBL3426; CHEMBL3711550; CHEMBL3762; CHEMBL4079; CHEMBL4642; CHEMBL4828; CHEMBL5114,Sodium-dependent serotonin transporter; Sodium-dependent noradrenaline transporter; Sodium-dependent dopamine transporter; Norepinephrine transporter; Quinolone resistance protein NorA; Cytochrome P450 2D6; Muscarinic acetylcholine receptor M1; Muscarinic acetylcholine receptor M2; Muscarinic acetylcholine receptor M3; Muscarinic acetylcholine receptor M4; Muscarinic acetylcholine receptor M5; Voltage-gated inwardly rectifying potassium channel KCNH2; Sigma non-opioid intracellular receptor 1; P2X purinoceptor 4; Substance-P receptor; Beta-adrenergic receptor kinase 1; Myeloperoxidase; Histamine H2 receptor; Voltage-dependent L-type calcium channel subunit alpha-1C; Beta-2 adrenergic receptor; Kappa-type opioid receptor; Alpha-1A adrenergic receptor; Alpha-2C adrenergic receptor; Delta-type opioid receptor; Mu-type opioid receptor; 5-hydroxytryptamine receptor 5A; 5-hydroxytryptamine receptor 2A; Cannabinoid receptor 1; Synaptic vesicular amine transporter; 5-hydroxytryptamine receptor 2B; 5-hydroxytryptamine receptor 6,P31652; P31645; P23975; Q01959; Q9WTR4; P23977; Q61327; O55192; Q60857; P0A0J7; P10635; P11229; P08172; P20309; P08173; P08912; Q12809; Q99720; P51577; Q99571; P25103; P25098; P05164; P21146; P25021; P22002; P07550; P41145; P35348; P18825; P41143; P35372; P47898; P28223; P21554; Q01827; P41595; P50406,1.0,map00983  Drug metabolism - other enzymes,True,True
CHEMBL465158,,,,,,1.0,0.0,0.0,False,True,,,,,,,False,False
CHEMBL3349607,PASIREOTIDE,1.0,,,,17.0,17.0,17.0,True,True,17.0,CHEMBL1792; CHEMBL1804; CHEMBL1916; CHEMBL1917; CHEMBL1941; CHEMBL2028; CHEMBL214; CHEMBL217; CHEMBL222; CHEMBL224; CHEMBL229; CHEMBL233; CHEMBL236; CHEMBL237; CHEMBL240; CHEMBL4616; CHEMBL4644,Somatostatin receptor type 1; Somatostatin receptor type 2; Somatostatin receptor type 3; Somatostatin receptor type 5; Histamine H2 receptor; Voltage-gated inwardly rectifying potassium channel KCNH2; Kappa-type opioid receptor; Alpha-1A adrenergic receptor; D(2) dopamine receptor; Sodium-dependent noradrenaline transporter; Alpha-2C adrenergic receptor; Delta-type opioid receptor; Mu-type opioid receptor; 5-hydroxytryptamine receptor 1A; Growth hormone secretagogue receptor type 1; 5-hydroxytryptamine receptor 2A; Melanocortin receptor 3,P30872; P30874; P32745; P35346; P25021; Q12809; P41145; P35348; P14416; P23975; P18825; P41143; P35372; P08908; Q92847; P28223; P41968,0.0,,True,False
CHEMBL240163,PAZUFLOXACIN,2.0,INHIBITOR,Bacterial DNA gyrase inhibitor; DNA topoisomerase II inhibitor,CHEMBL2311224; CHEMBL2094255,1.0,1.0,1.0,True,True,3.0,CHEMBL1293228; CHEMBL2094255; CHEMBL2311224,Streptokinase A,P10520,0.0,,True,False
CHEMBL267648,PEFLOXACIN,2.0,INHIBITOR,Bacterial DNA gyrase inhibitor; Topoisomerase IV inhibitor,CHEMBL2311224; CHEMBL2363076,1.0,1.0,1.0,True,True,3.0,CHEMBL2311224; CHEMBL234; CHEMBL2363076,D(3) dopamine receptor,P35462,0.0,,True,False
CHEMBL2110706,PELANSERIN,1.0,,,,1.0,0.0,0.0,True,True,,,,,,,False,False
