specs_compound_name,chembl_id,pref_name,synonyms,max_phase,first_approval,therapeutic_flag,withdrawn_flag,canonical_smiles,standard_inchi_key,full_mwt,alogp,hba,hbd,aromatic_rings,num_ro5_violations,indication_class,drug_schembl,drug_cid,n_moa_rows,moa_actions,moa_text,moa_target_chembl_ids,n_assay_rows,n_unique_assays,n_unique_targets_assayed,best_pchembl,median_pchembl,has_drug_info,has_moa,has_assay,n_unique_targets,target_chembl_ids,target_descriptions,target_uniprot_ids,n_unique_pathways,pathways,kegg_ids,ec_numbers,has_target_info,has_pathway_info
"2,3-DCPE",CHEMBL1356094,,,,,0.0,0.0,OCCNCCCOc1cccc(Cl)c1Cl,QVEIRCZEBQRCTR-UHFFFAOYSA-N,264.15,2.34,3.0,2.0,1.0,0.0,,29516806.0,2250975.0,1.0,,,,3.0,3.0,3.0,6.8,6.7,True,True,True,3.0,CHEMBL289; CHEMBL3356; CHEMBL3622,Cytochrome P450 2C19; Cytochrome P450 1A2; Cytochrome P450 2D6,P33261; P05177; P10635,2.0,map00071  Fatty acid degradation;map00140  Steroid hormone biosynthesis;map00232  Caffeine metabolism;map00380  Tryptophan metabolism;map00590  Arachidonic acid metabolism;map00591  Linoleic acid metabolism;map00627  Aminobenzoate degradation;map00830  Retinol metabolism;map00980  Metabolism of xenobiotics by cytochrome P450;map00982  Drug metabolism - cytochrome P450;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites;map01120  Microbial metabolism in diverse environments;map00902  Monoterpenoid biosynthesis;map00903  Limonene degradation; map00071  Fatty acid degradation;map00140  Steroid hormone biosynthesis;map00232  Caffeine metabolism;map00380  Tryptophan metabolism;map00590  Arachidonic acid metabolism;map00591  Linoleic acid metabolism;map00627  Aminobenzoate degradation;map00830  Retinol metabolism;map00980  Metabolism of xenobiotics by cytochrome P450;map00982  Drug metabolism - cytochrome P450;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites;map01120  Microbial metabolism in diverse environments,path:map00071;path:map00140;path:map00232;path:map00380;path:map00590;path:map00591;path:map00627;path:map00830;path:map00980;path:map00982;path:map01100;path:map01110;path:map01120;path:map00902;path:map00903; path:map00071;path:map00140;path:map00232;path:map00380;path:map00590;path:map00591;path:map00627;path:map00830;path:map00980;path:map00982;path:map01100;path:map01110;path:map01120,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53; 1.14.14.75; 1.14.14.1; 4.2.1.152; 1.14.14.-,True,True
"2,3-cis/exo-pinanediol",CHEMBL4303395,,,,,0.0,0.0,CC1(C)[C@@H]2C[C@H]1[C@@](C)(O)[C@@H](O)C2,MOILFCKRQFQVFS-BDNRQGISSA-N,170.25,1.16,2.0,2.0,0.0,0.0,,8609394.0,6553875.0,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
"2,4-dinitrophenol",CHEMBL273386,"2,4-DINITROPHENOL","2,4-DINITROPHENOL",2.0,,0.0,0.0,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,UFBJCMHMOXMLKC-UHFFFAOYSA-N,184.11,1.21,5.0,1.0,1.0,0.0,,29361027.0,1493.0,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
"2,5-furandimethanol",CHEMBL4303433,,,,,0.0,0.0,OCc1ccc(CO)o1,DSLRVRBSNLHVBH-UHFFFAOYSA-N,128.13,0.26,3.0,2.0,1.0,0.0,,183551.0,74663.0,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
2-(1-adamantylamino)benzoic-acid,CHEMBL4303278,,,,,0.0,0.0,O=C(O)c1ccccc1NC(=O)C12CC3CC(CC(C3)C1)C2,XKZLSYWCDJZTMW-UHFFFAOYSA-N,299.37,3.54,2.0,2.0,1.0,0.0,,,2847479.0,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",CHEMBL4303207,,,,,0.0,0.0,O=c1[nH]c(CCl)nc2sc3c(c12)CCCC3,GDHMBNWVLWMONW-UHFFFAOYSA-N,254.74,2.6,3.0,1.0,2.0,0.0,,6212742.0,146058.0,1.0,,,,1.0,1.0,1.0,5.96,5.96,True,True,True,1.0,CHEMBL1865,Histone deacetylase 6,Q9UBN7,0.0,,,2.3.2.-; 3.5.1.-,True,False
2-APB,CHEMBL169233,,,,,0.0,0.0,NCCOB(c1ccccc1)c1ccccc1,BLZVCIGGICSWIG-UHFFFAOYSA-N,225.1,,,,,,,341835.0,1598.0,1.0,,,,5.0,5.0,1.0,6.0,5.92,True,True,True,1.0,CHEMBL1250402,Transient receptor potential cation channel subfamily M member 2,O94759,0.0,,,,True,False
2-BFI,CHEMBL404505,,,,,0.0,0.0,c1ccc2oc(C3=NCCN3)cc2c1,YTJOHEUHUVBKSB-UHFFFAOYSA-N,186.21,1.78,3.0,1.0,2.0,0.0,,563160.0,3080926.0,1.0,,,,10.0,9.0,5.0,8.8,5.37,True,True,True,5.0,CHEMBL1867; CHEMBL2039; CHEMBL2993; CHEMBL3356; CHEMBL3923,Nischarin; Amine oxidase [flavin-containing] B; Cytochrome P450 1A2; Alpha-2A adrenergic receptor,Q9Y2I1; P19643; P05177; P27338; P08913,2.0,"map00260  Glycine, serine and threonine metabolism;map00350  Tyrosine metabolism;map00360  Phenylalanine metabolism;map00410  beta-Alanine metabolism;map00950  Isoquinoline alkaloid biosynthesis;map00960  Tropane, piperidine and pyridine alkaloid biosynthesis;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites;map00330  Arginine and proline metabolism;map00340  Histidine metabolism;map00380  Tryptophan metabolism;map00982  Drug metabolism - cytochrome P450; map00071  Fatty acid degradation;map00140  Steroid hormone biosynthesis;map00232  Caffeine metabolism;map00380  Tryptophan metabolism;map00590  Arachidonic acid metabolism;map00591  Linoleic acid metabolism;map00627  Aminobenzoate degradation;map00830  Retinol metabolism;map00980  Metabolism of xenobiotics by cytochrome P450;map00982  Drug metabolism - cytochrome P450;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites;map01120  Microbial metabolism in diverse environments",path:map00260;path:map00350;path:map00360;path:map00410;path:map00950;path:map00960;path:map01100;path:map01110;path:map00330;path:map00340;path:map00380;path:map00982; path:map00071;path:map00140;path:map00232;path:map00380;path:map00590;path:map00591;path:map00627;path:map00830;path:map00980;path:map00982;path:map01100;path:map01110;path:map01120,1.4.3.21; 1.4.3.4; 1.14.14.1; 4.2.1.152,True,True
2-CMDO,CHEMBL90882,,,,,0.0,0.0,CN1CCN(C2=Cc3ccccc3Oc3ccc(Cl)cc32)CC1,OTKUTGIVEREJLL-UHFFFAOYSA-N,326.83,4.19,3.0,0.0,2.0,0.0,,10873714.0,32224.0,1.0,,,,11.0,11.0,7.0,9.27,8.52,True,True,True,7.0,CHEMBL2094116; CHEMBL217; CHEMBL219; CHEMBL289; CHEMBL322; CHEMBL324; CHEMBL3622,D(2) dopamine receptor; D(4) dopamine receptor; 5-hydroxytryptamine receptor 2A; 5-hydroxytryptamine receptor 2C; Serotonin 3 (5-HT3) receptor; Cytochrome P450 2D6; Cytochrome P450 2C19,P14416; P21917; P14842; P08909; Q9JJ16; P10635; P33261,1.0,map00071  Fatty acid degradation;map00140  Steroid hormone biosynthesis;map00232  Caffeine metabolism;map00380  Tryptophan metabolism;map00590  Arachidonic acid metabolism;map00591  Linoleic acid metabolism;map00627  Aminobenzoate degradation;map00830  Retinol metabolism;map00980  Metabolism of xenobiotics by cytochrome P450;map00982  Drug metabolism - cytochrome P450;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites;map01120  Microbial metabolism in diverse environments;map00902  Monoterpenoid biosynthesis;map00903  Limonene degradation,path:map00071;path:map00140;path:map00232;path:map00380;path:map00590;path:map00591;path:map00627;path:map00830;path:map00980;path:map00982;path:map01100;path:map01110;path:map01120;path:map00902;path:map00903,1.14.14.-; 1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53; 1.14.14.75,True,True
2-PMDQ,CHEMBL71492,,,,,0.0,0.0,O=C1Nc2ccccc2C2=NC(CN3CCN(c4ccccc4)CC3)CN12,ONSOQRPYFKDOEB-UHFFFAOYSA-N,361.45,2.49,4.0,1.0,2.0,0.0,,9414681.0,4367545.0,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
