chembl_id,compound_name,canonical_smiles,max_phase,withdrawn_flag,therapeutic_flag,total_score,tier,n_matches,n_target,n_moa,n_pathway,n_specific,n_oxidative,top_node,top_match_type,top_match_score,matched_nodes,short_rationale,best_pchembl,median_pchembl,n_unique_targets_assayed,moa_text,moa_actions,score_node_ER_proteostasis,score_node_TRPML1/MCOLN1,score_node_autophagy_flux,score_node_lysosomal_trafficking_M6P,score_node_mTORC1,score_node_oxidative_stress,score_node_trehalose_AKT_TFEB
CHEMBL1078983,Ku-0063794,COc1ccc(-c2ccc3c(N4CCOCC4)nc(N4C[C@@H](C)O[C@@H](C)C4)nc3n2)cc1CO,,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",8.6,8.0,6.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL1256459,TORIN1,CCC(=O)N1CCN(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1,,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",9.54,7.744999999999999,15.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL1684984,IZORLISIB,CS(=O)(=O)N1CCc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc21,2.0,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",7.85,6.92,6.0,PI3-kinase class I inhibitor,INHIBITOR,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL1765602,torin-2,Nc1ccc(-c2ccc3ncc4ccc(=O)n(-c5cccc(C(F)(F)F)c5)c4c3c2)cn1,,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",9.6,7.74,16.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL179242,compound-401,O=c1cc(N2CCOCC2)nc2c3ccccc3ccn12,,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",6.55,5.915,2.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL188678,NU-7441,O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",9.19,7.52,8.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL2017974,BUPARLISIB,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,3.0,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",8.46,6.89,17.0,PI3-kinase class I inhibitor,INHIBITOR,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL2132692,OSI-027,COc1cccc2cc(-c3nc(C4CCC(C(=O)O)CC4)n4ncnc(N)c34)[nH]c12,,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",8.4,8.4,1.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL2140173,KU-60019,C[C@@H]1CN(CC(=O)Nc2ccc3c(c2)Cc2cccc(-c4cc(=O)cc(N5CCOCC5)o4)c2S3)C[C@H](C)O1,,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",9.1,7.22,7.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL2165191,AZD-6482,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,2.0,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",8.0,6.57,10.0,PI3-kinase class I inhibitor,INHIBITOR,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL222102,KU-55933,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",8.66,6.67,6.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL2325697,AZ20,C[C@@H]1COCCN1c1cc(C2(S(C)(=O)=O)CC2)nc(-c2cccc3[nH]ccc23)n1,,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",8.52,7.255,7.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL2387080,TASELISIB,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1,3.0,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",10.1,8.4,8.0,PI3-kinase class I inhibitor,INHIBITOR,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL2396661,ALPELISIB,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,4.0,0.0,1.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",8.77,6.6,11.0,PI3-kinase p110-alpha subunit inhibitor,INHIBITOR,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL3218576,COPANLISIB,COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21,4.0,0.0,1.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",9.96,8.43,10.0,PI3-kinase p110-alpha subunit inhibitor; PI3-kinase p110-delta subunit inhibitor,INHIBITOR,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL3334621,ETP-46464,CC(C)(C#N)c1ccc(N2C(=O)OCc3cnc4ccc(-c5cnc6ccccc6c5)cc4c32)cc1,,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",9.22,7.85,5.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL3622533,FIMEPINOSTAT,COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1,2.0,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",9.44,7.57,21.0,PI3-kinase p110-delta subunit inhibitor; PI3-kinase p110-beta subunit inhibitor; PI3-kinase p110-alpha subunit inhibitor; Histone deacetylase inhibitor,INHIBITOR,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL4084907,BIMIRALISIB,Nc1cc(C(F)(F)F)c(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,2.0,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",8.82,7.05,11.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL428496,WORTMANNIN,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",9.0,7.82,17.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL561103,WYE-687,COC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",8.34,8.15,2.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL561708,WYE-354,COC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",8.37,8.3,5.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL583194,WAY-600,c1cncc(CN2CCC(n3ncc4c(N5CCOCC5)nc(-c5ccc6[nH]ccc6c5)nc43)CC2)c1,,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",8.05,8.05,3.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL586702,ZSTK-474,FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,2.0,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",8.52,7.8,11.0,PI3-kinase class I inhibitor,INHIBITOR,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL601661,WYE-125132,CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1,,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",9.72,7.22,5.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL76,CHLOROQUINE,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.0,0.0,1.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",7.52,5.6,21.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
CHEMBL98350,LY-294002,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,-1.0,0.0,0.0,6.0,High,1,1,0,0,1,0,mTORC1,target,6.0,mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",6.7,5.88,25.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0
