specs_compound_name,chembl_id,pref_name,synonyms,max_phase,first_approval,therapeutic_flag,withdrawn_flag,canonical_smiles,standard_inchi_key,full_mwt,alogp,hba,hbd,aromatic_rings,num_ro5_violations,indication_class,drug_schembl,drug_cid,n_moa_rows,moa_actions,moa_text,moa_target_chembl_ids,n_assay_rows,n_unique_assays,n_unique_targets_assayed,best_pchembl,median_pchembl,has_drug_info,has_moa,has_assay,n_unique_targets,target_chembl_ids,target_descriptions,target_uniprot_ids,n_unique_pathways,pathways,kegg_ids,ec_numbers,has_target_info,has_pathway_info
PSB-1115,CHEMBL8565,,,,,0.0,0.0,CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)O)cc3)[nH]c2c1=O,UYDRRQPGDSIMNU-UHFFFAOYSA-N,350.36,0.74,6.0,3.0,3.0,0.0,,1223271.0,5311479,1.0,,,,17.0,17.0,6.0,7.27,6.71,True,True,True,6.0,CHEMBL2237; CHEMBL251; CHEMBL255; CHEMBL2592; CHEMBL318; CHEMBL3688,Adenosine receptor A1; Adenosine receptor A2b; Adenosine receptor A2a,P25099; P29275; Q60614; P29274; P29276; Q60612,0.0,,,,True,False
PSB-36,CHEMBL1316674,,,,,0.0,0.0,CCCCn1c(=O)c2[nH]c(C34CC5CC(CC3C5)C4)nc2n(CCCO)c1=O,CIBIXJYFYPFMTN-UHFFFAOYSA-N,386.5,2.15,6.0,2.0,2.0,0.0,,4397296.0,11689583,1.0,,,,10.0,10.0,7.0,9.91,7.67,True,True,True,7.0,CHEMBL226; CHEMBL251; CHEMBL255; CHEMBL256; CHEMBL302; CHEMBL318; CHEMBL3360,Adenosine receptor A1; Adenosine receptor A2a; Adenosine receptor A2b; Adenosine receptor A3,P30542; P29274; P25099; P30543; P29275; P0DMS8; P28647,0.0,,,,True,False
PSI-6130,CHEMBL223482,,,,,0.0,0.0,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1ccc(N)nc1=O,NYPIRLYMDJMKGW-VPCXQMTMSA-N,259.24,-1.2,7.0,3.0,1.0,0.0,,379121.0,6481236,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
PSI-7976,CHEMBL1259058,,,,,0.0,0.0,CC(C)OC(=O)[C@H](C)N[P@@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,TTZHDVOVKQGIBA-YBSJRAAASA-N,529.46,1.66,10.0,3.0,2.0,1.0,,2535737.0,45375809,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
PSN-375963,CHEMBL4303425,,,,,0.0,0.0,CCCCC1CCC(c2nc(-c3ccncc3)no2)CC1,OAVLEYPTWABFLF-UHFFFAOYSA-N,285.39,4.6,4.0,0.0,2.0,0.0,,385375.0,2875918,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
PSNCBAM-1,CHEMBL3341861,,,,,0.0,0.0,O=C(Nc1ccc(Cl)cc1)Nc1cccc(-c2cccc(N3CCCC3)n2)c1,HDAYFSFWIPRJSO-UHFFFAOYSA-N,392.89,5.65,3.0,2.0,3.0,1.0,,29574371.0,11560249,1.0,,,,25.0,23.0,5.0,8.42,6.99,True,True,True,5.0,CHEMBL218; CHEMBL2243; CHEMBL3037; CHEMBL3571; CHEMBL5373,Cannabinoid receptor 1; Cannabinoid receptor 2; Fatty-acid amide hydrolase 1,P21554; P47936; P20272; O00519; P47746,0.0,,,3.1.1.-; 3.5.1.99,True,False
PT-2385,CHEMBL4173075,,,,,0.0,0.0,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,ONBSHRSJOPSEGS-INIZCTEOSA-N,383.35,3.12,5.0,1.0,2.0,0.0,,16555810.0,91754484,1.0,,,,15.0,14.0,2.0,8.07,7.57,True,True,True,2.0,CHEMBL1744522; CHEMBL1783,"Endothelial PAS domain-containing protein 1; Vascular endothelial growth factor A, long form",Q99814; P15692,0.0,,,,True,False
PTC-209,CHEMBL468984,,,,,0.0,0.0,COc1cc(Br)c(Nc2nc(-c3c(C)nc4ncccn34)cs2)c(Br)c1,XVOOCQSWCCRVDY-UHFFFAOYSA-N,495.2,5.44,7.0,1.0,4.0,1.0,,1674889.0,1117196,1.0,,,,1.0,0.0,0.0,,,True,True,True,,,,,,,,,False,False
PU-H71,CHEMBL200102,PU-H71,PU-H 71,2.0,,0.0,0.0,CC(C)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21,SUPVGFZUWFMATN-UHFFFAOYSA-N,512.38,3.28,9.0,2.0,3.0,1.0,,1857579.0,9549213,1.0,,,,31.0,31.0,6.0,8.12,7.22,True,True,True,6.0,CHEMBL1075132; CHEMBL1075323; CHEMBL1824; CHEMBL3880; CHEMBL4303; CHEMBL4748,"Heat shock protein HSP 90-beta; Heat shock protein HSP 90-alpha; Heat shock protein 75 kDa, mitochondrial; Endoplasmin; Receptor tyrosine-protein kinase erbB-2",P08238; P07900; Q12931; P41148; P14625; P04626,0.0,,,3.6.4.10; 3.6.4.-; 2.7.10.1,True,False
PX-12,CHEMBL406050,PX-12,PX-12,2.0,,0.0,0.0,CCC(C)SSc1ncc[nH]1,BPBPYQWMFCTCNG-UHFFFAOYSA-N,188.32,2.95,3.0,1.0,1.0,0.0,,775481.0,219104,1.0,INHIBITOR,Thioredoxin inhibitor,CHEMBL2010624,5.0,5.0,3.0,6.85,6.17,True,True,True,3.0,CHEMBL2010624; CHEMBL4295557; CHEMBL4523582,Thioredoxin; Replicase polyprotein 1ab,P10599; P0DTD1; K9N7C7,0.0,,,2.1.1.56; 2.1.1.57; 2.7.7.48; 2.7.7.50; 3.1.13.-; 3.4.19.12; 3.4.22.-; 3.4.22.69; 3.6.4.12; 3.6.4.13; 4.6.1.-; 2.1.1.56; 2.1.1.57; 2.7.7.48; 2.7.7.50; 3.1.13.-; 3.4.19.12; 3.4.22.-; 3.6.4.12; 3.6.4.13; 4.6.1.-,True,False
