compound_name,Morphology score,Infection rate (%),Inhibition of cytopathicity (%),naive_composite,naive_rank
sulfisoxazole-acetyl,0.178506859835832,91.0,-2.3280000000000003,0.03143239390758734,1181.0
niridazole,0.232723753052082,95.0,-2.532,0.03141434095853505,1182.0
piroxicam,0.184436720821017,98.5,0.386,0.0313961558122812,1183.0
N-salicoylaminophenol,0.167508245261376,102.5,2.476,0.031324533515071806,1184.0
CaMKII-IN-1,0.103969495368739,94.5,1.426,0.031321151510961154,1185.0
LY2183240,0.00131266483294,85.0,1.0579999999999998,0.03130858566359773,1186.0
JX-401,0.026740725508667,104.0,7.595999999999999,0.031210922712260187,1187.0
danirixin,0.190250205122673,98.0,-0.02999999999999998,0.031157774203878552,1188.0
TH011272,0.134428821736009,94.0,0.22199999999999998,0.031148327108803924,1189.0
filgotinib,0.154046880660521,97.0,0.75,0.031136124366782147,1190.0
efloxate,0.189756866697971,96.5,-0.602,0.031117204476871274,1191.0
tyrphostin-AG-879,0.165541042266106,101.5,2.114,0.03106048658947791,1192.0
amthamine,0.147515575556049,92.5,-0.8,0.03103262430840148,1193.0
TC-S-7009,0.097010707320378,94.5,1.6059999999999999,0.031003513502303754,1194.0
valethamate,0.095219215983384,95.0,1.85,0.030947044517967554,1195.0
lafutidine,0.053353630880703,94.0,2.816,0.03094525528854634,1196.0
ARC-239,0.21312313765651,100.0,-0.028000000000000025,0.0309162881101539,1197.0
brefeldin-A,0.039736433592402,107.0,8.291999999999998,0.030873226003386156,1198.0
cariporide,0.168736726802241,101.0,1.7879999999999998,0.030859499206629743,1199.0
chromanol-(+/-),0.24127885621667,98.5,-1.532,0.030839253987629506,1200.0
zamifenacin,0.151905631877749,96.0,0.38600000000000007,0.030818362560601293,1201.0
propagermanium,0.128486249368965,94.0,0.362,0.030780535596247754,1202.0
1-hexadecanal,0.185116142333157,100.0,0.858,0.030775155013593774,1203.0
remimazolam,0.131768303765554,95.0,0.642,0.03076678010135196,1204.0
istaroxime,0.150757709312338,101.5,2.548,0.030748970709103245,1205.0
novobiocin,0.16537730399585,95.0,-0.44799999999999995,0.03074761979332034,1206.0
AVN-944,-0.000547197373704,97.0,5.696,0.030747245013914643,1207.0
niclosamide,0.097471216193676,97.0,2.524,0.030740025604793792,1208.0
TG-100713,0.242051318038656,101.0,-0.604,0.030717202766877543,1209.0
cebranopadol,0.057847940762966,93.0,2.246,0.030688495162567626,1210.0
doxifluridine,0.320289376164674,107.5,-0.622,0.030648297461709457,1211.0
oxyphenbutazone,0.131358573551389,102.5,3.54,0.03058207330814337,1212.0
oxyfedrine,0.216998991428383,102.0,0.5700000000000001,0.030544073552528788,1213.0
pentacosanoic-acid,0.21139418144156,96.0,-1.5779999999999998,0.030540319952121253,1214.0
dizocilpine-(-),0.246539795203817,106.0,1.158,0.030481732988853816,1215.0
nuclomedone,0.237574599699318,99.0,-1.27,0.03047389632172866,1216.0
YM-511,0.208097035052982,102.0,0.8460000000000001,0.030459702306462704,1217.0
AZD7545,0.280380990010606,104.5,-0.528,0.030418283122030394,1218.0
CGP-71683,-0.042675611006944,93.5,5.65,0.03039225109548575,1219.0
obeticholic-acid,0.174362126636954,100.75,1.4380000000000002,0.03035983000374091,1220.0
AP-18,0.112115204592136,97.5,2.184,0.030315398822400235,1221.0
SQ-109,0.121749214289631,94.5,0.7060000000000001,0.03030175207429035,1222.0
phenylpiracetam,0.174545369157088,94.0,-1.2060000000000002,0.03023180506054109,1223.0
mebhydrolin,0.24174585295991,104.0,0.5,0.030222500090674693,1224.0
mebeverine,0.178261321700481,94.5,-1.134,0.030218771305449848,1225.0
ifosfamide,0.187916037038906,97.5,-0.284,0.030204300648992415,1226.0
gedunin,0.145397906532209,105.5,4.194,0.03018638611667353,1227.0
AVE-0991,0.159104728779421,97.0,0.446,0.03014796090151454,1228.0
SCOPOLAMINE HYDROBROMIDE,0.140504405350056,97.5,1.238,0.030121203970275918,1229.0
FK-888,0.179203380200932,104.0,2.506,0.030100722422067887,1230.0
pyrithione-zinc,0.03986463707096,91.5,2.154,0.03004383669516904,1231.0
PK-44,0.171967960937876,98.5,0.5960000000000001,0.030034901087106936,1232.0
deoxyarbutin,0.198331708341388,97.0,-0.8480000000000001,0.02997214508856368,1233.0
prinaberel,0.143481368619891,96.5,0.732,0.029969420880499736,1234.0
omadacycline,0.179436089814835,97.5,-0.06999999999999998,0.02977958710934092,1235.0
limonin,0.288582347138684,103.0,-1.472,0.029739094734629618,1236.0
SU4312,0.175023279668772,101.0,1.416,0.02967246758997603,1237.0
colistin,0.133679753502988,96.25,0.90875,0.029664559853608274,1238.0
eltrombopag,0.142816244384271,99.0,1.6800000000000002,0.029660773781314265,1239.0
oxfendazole,0.150322319652073,101.0,2.198,0.029552121356822208,1240.0
meisoindigo,0.088170766719647,96.5,2.458,0.02952352338100624,1241.0
zimelidine,0.165914320714098,97.0,0.12999999999999998,0.029474253143986773,1242.0
dimetindene,0.120850216246582,94.75,0.711,0.02944915805538532,1243.0
talmapimod,0.103202007936239,88.5,-1.1460000000000001,0.02943427626532232,1244.0
OPC-21268,0.183729857532604,101.5,1.2919999999999998,0.02941622509489646,1245.0
ellagic-acid,0.105343343575918,94.0,0.916,0.02941000849131159,1246.0
salvianolic-acid-B,0.090492010388746,94.5,1.588,0.02939228213083526,1247.0
MM-11253,0.132352489314458,98.0,1.58,0.029306126762489632,1248.0
KL-001,0.000273642329953,91.0,3.116,0.02916576805573153,1249.0
cefoperazone,0.206152000198949,103.5,1.286,0.02901576356587554,1250.0
chlorambucil,0.143397041980971,94.0,-0.376,0.02898107708878687,1251.0
trofinetide,0.185535937208194,100.0,0.5820000000000001,0.02892786029549055,1252.0
aminocaproic-acid,0.135782948130045,89.5,-1.8880000000000003,0.028898490712328972,1253.0
spaglumic-acid,0.120712109809943,88.5,-1.816,0.028705450066516442,1254.0
emoxipin,0.142792556528824,99.5,1.738,0.028697548750846735,1255.0
"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",0.19274566677376,103.5,1.672,0.028679940660170322,1256.0
phthalylsulfacetamide,0.21039378836196,99.5,-0.45199999999999996,0.028676107695235802,1257.0
polythiazide,0.200436624734258,100.5,0.25,0.028618008130454786,1258.0
AZD3988,0.114880354035861,91.0,-0.6759999999999999,0.02857177141772027,1259.0
isoetharine,0.127931250961509,93.0,-0.322,0.028571382185635374,1260.0
TYLOSIN TARTRATE,-0.000375846669111,81.0,-0.8360000000000001,0.028520247869371056,1261.0
zafirlukast,0.281794176952294,105.0,-0.6639999999999999,0.02841662292697274,1262.0
APTO-253,0.210434350547842,102.5,0.668,0.028372838397798545,1263.0
H2L-5765834,0.172890174460889,99.5,0.718,0.02837149511308616,1264.0
AZD2461,0.118450863144698,103.0,3.836,0.028360130010032014,1265.0
piroximone,0.14217739168904,100.5,2.098,0.028359426993150787,1266.0
azapropazone,0.164683369682162,94.0,-1.154,0.028351957624149698,1267.0
NFKB-activation-inhibitor-II,0.238148990801713,102.0,-0.426,0.02834930159204374,1268.0
PF-670462,0.196559957009306,103.0,1.3059999999999998,0.02833825095882825,1269.0
GW-4064,0.150536941783859,96.5,0.27,0.028323967405936457,1270.0
CI-923,0.208634908940316,98.0,-1.028,0.028319174927238084,1271.0
PU-H71,0.254519715939601,96.5,-3.1,0.028281211712355907,1272.0
Golgicide A,0.281084385978143,104.5,-0.866,0.028199126062486424,1273.0
pyrantel-pamoate,0.102857198194076,93.5,0.614,0.02808402981372023,1274.0
octadecan-1-ol,0.165504336983247,95.5,-0.6479999999999999,0.028002533668458174,1275.0
niceritrol,0.128962711708791,96.5,0.916,0.02795831105587343,1276.0
pexmetinib,0.225955543615077,105.0,1.0739999999999998,0.0279349491049371,1277.0
MIRA-1,0.140381669479847,97.0,0.728,0.027869239743121204,1278.0
metacetamol,0.044778885932528,97.0,3.816,0.027835261118928423,1279.0
diaveridine,0.190979178743878,101.0,0.6220000000000001,0.027716803317573386,1280.0
BMY-45778,0.19358605981359,101.5,0.73,0.02770461885187847,1281.0
adaptavir,0.150658089284212,93.0,-1.184,0.027678998065503706,1282.0
CB-03-01,0.188481485227821,101.5,0.876,0.02756990374285621,1283.0
SB-216763,0.004578255979981,102.0,6.9959999999999996,0.0274045970211592,1284.0
NU-2058,0.091077686793996,90.5,-0.292,0.027220404086135946,1285.0
diphenylguanidine,0.215746393718648,98.0,-1.422,0.02716513882083471,1286.0
macelignan,0.185444735231916,101.5,0.916,0.027159915410884694,1287.0
Sisomicin (sulfate),0.22184168073717,102.25,0.029000000000000005,0.027155495129224178,1288.0
actarit,0.181311707179346,99.5,0.246,0.026966720590322752,1289.0
nimorazole,0.096226744135862,91.5,-0.10799999999999998,0.026956036476807516,1290.0
NDT-9513727,0.13878912872964,99.5,1.6199999999999999,0.02695517879690597,1291.0
thiotepa,0.127397587553506,96.0,0.626,0.026926552803657227,1292.0
BL-5583,0.06755588104532,88.0,-0.5439999999999999,0.026920371369542912,1293.0
TC-G-1008,0.193066531843822,97.5,-0.9359999999999999,0.02678749773686569,1294.0
BAM7,0.050093818887066,91.5,1.3519999999999999,0.02672769553395889,1295.0
EI1,0.126064171931415,95.0,0.24400000000000005,0.026666050471669773,1296.0
UNC1999,0.070493468151681,109.5,7.664,0.02662621717118674,1297.0
G-15,0.101552344751121,96.5,1.6099999999999999,0.02660147011901437,1298.0
voxelotor,0.188211634610553,102.0,0.9399999999999998,0.02659285625403407,1299.0
arecoline,0.184032665375325,100.0,0.29599999999999993,0.026572225533727734,1300.0
acetyl-l-leucine,0.134092210914374,94.5,-0.246,0.026411074163999015,1301.0
enasidenib,0.23706057579299,100.0,-1.4440000000000002,0.02639972674111113,1302.0
SGC-707,0.182459476723316,98.0,-0.45599999999999996,0.02638475283342334,1303.0
azasetron,0.143323053930026,98.0,0.808,0.026370007066657486,1304.0
GSK2879552,0.106317320802505,98.0,2.004,0.026361804654344862,1305.0
sulmazole,0.164525079782202,98.5,0.308,0.026312543805734594,1306.0
A922500,0.201724460606872,102.5,0.6549999999999999,0.026297798003544,1307.0
megestrol-acetate,0.210227750441299,100.0,-0.592,0.026286648369897286,1308.0
clorprenaline,0.124667549522243,96.5,0.8019999999999999,0.02617766153719414,1309.0
ritodrine,0.153639652200931,96.0,-0.33399999999999996,0.026144832057080774,1310.0
impentamine,0.128337343614129,92.5,-0.882,0.02608787566278718,1311.0
suritozole,0.141143378510069,101.0,1.998,0.026053880370899136,1312.0
MRK-016,0.149044691577712,95.0,-0.592,0.026014464309095486,1313.0
ML786,0.226838081528156,99.0,-1.5580000000000003,0.02600147002541553,1314.0
nafamostat,0.17178148002563,108.0,3.7019999999999995,0.025900765893989635,1315.0
tremorine,0.106841605552482,96.0,1.1440000000000001,0.025891731781830723,1316.0
LPA2-antagonist-1,0.141886458711321,100.0,1.56,0.025872053409268164,1317.0
dideoxyadenosine,0.10344831073058,99.0,2.4059999999999997,0.025806066574272497,1318.0
pancuronium,0.25419332629983,102.0,-1.31,0.025780224224423016,1319.0
folic-acid,0.206563852851896,102.0,0.22999999999999998,0.025774228435857638,1320.0
fenspiride,0.207772011022206,101.0,-0.2,0.025754630778184368,1321.0
carvedilol,0.134277360655743,97.5,0.8119999999999999,0.02570428459005399,1322.0
BMS-817378,0.137538959903906,102.0,2.446,0.025654481642876387,1323.0
carteolol,0.111466405127174,96.5,1.1540000000000001,0.02564922466234909,1324.0
pemirolast,0.106194070987858,94.5,0.542,0.02560486222216825,1325.0
GW-9662,0.102708756078555,94.5,0.654,0.025599563340950704,1326.0
suxibuzone,0.183182952542964,94.5,-1.964,0.025496821598511854,1327.0
U-0124,0.152331465990852,100.5,1.36,0.02547670794407571,1328.0
acetanilide,0.174418795233095,101.5,1.018,0.025366974467644837,1329.0
VU0361737,0.132679737992135,96.5,0.426,0.02535545575238359,1330.0
SB-258585,0.195435259533008,98.5,-0.834,0.025312720863994425,1331.0
CFM-2,0.119723325283245,94.5,0.05999999999999996,0.025292888406309277,1332.0
CPI-613,0.194921347821795,103.5,1.1179999999999999,0.02527554401468135,1333.0
RX-821002,0.068107124093506,92.5,0.95,0.025267804717057918,1334.0
FG-2216,0.169967869318449,102.5,1.536,0.02526756171963525,1335.0
naphazoline,0.145974211976303,99.0,0.9520000000000002,0.025255206886027965,1336.0
gallopamil,0.175986319696867,98.0,-0.40800000000000003,0.025248497897482625,1337.0
norethisterone-enanthate,0.145804874593836,96.5,-0.014000000000000012,0.025247109153176295,1338.0
riboflavin-5-phosphate-sodium,0.173139907227427,101.5,1.036,0.02520244037821573,1339.0
"Tofacitinib (CP-690550, Tasocitinib)",0.281360738912377,106.0,-0.72,0.025191463719247187,1340.0
haloperidol-decanoate,0.165839104717429,96.0,-0.882,0.02506541331751307,1341.0
SB-399885,0.131664533110447,97.5,0.8019999999999999,0.025038863414073836,1342.0
tasimelteon,0.169214323969822,98.5,-0.03200000000000003,0.02498701596753561,1343.0
cathepsin-inhibitor-1,0.185834305318018,97.5,-0.966,0.024929298580060877,1344.0
BTB06584,0.245102712153641,104.0,-0.37600000000000006,0.02482038467318785,1345.0
parthenolide-(alternate-stereo),0.110845277481872,105.83333333333333,4.676666666666667,0.024804595158473292,1346.0
LDN-209929,0.048848445429473,91.5,1.116,0.02478276654787041,1347.0
telmisartan,0.215428465176716,100.0,-0.982,0.02472562525661696,1348.0
JZL-195,0.161975275952046,95.5,-1.004,0.024692796944455326,1349.0
A-674563,0.111088046915213,92.5,-0.534,0.024609384021932024,1350.0
enflurane,0.187584422879401,98.5,-0.6839999999999999,0.02458074985168135,1351.0
BMS-182874,0.115247290736763,95.5,0.48999999999999994,0.024568283590274187,1352.0
felodipine,0.224402494486992,112.0,3.3619999999999997,0.024561910162536615,1353.0
phenytoin,0.167860769806135,97.0,-0.6439999999999999,0.024468967849153683,1354.0
tenovin-6,-0.102059115627944,86.0,3.816,0.024450084032174708,1355.0
LY3000328,0.123245151129443,95.5,0.21000000000000002,0.02441860466240146,1356.0
oritavancin,0.039883788723355,92.0,1.548,0.024416154637201815,1357.0
"2,4-dinitrophenol",0.059596250451615,97.5,3.038,0.02436682666079541,1358.0
fluvoxamine,0.058566917238238,90.0,0.14999999999999983,0.02429420635616031,1359.0
5-hydroxytryptophan,0.197316389411719,104.0,1.082,0.024201432017657416,1360.0
camylofine-chlorhydrate,0.180138869010891,98.0,-0.6940000000000001,0.02418087883884142,1361.0
licarbazepine,0.187701666335288,97.0,-1.328,0.02417238724340028,1362.0
daltroban,0.136130924209458,97.5,0.534,0.02416942700118881,1363.0
sulfacetamide,0.147056303822315,100.5,1.3439999999999999,0.02416274911866878,1364.0
SC-9,0.180464951266354,98.0,-0.7100000000000002,0.02414250680936732,1365.0
iobenguane,0.132025457396088,100.0,1.6300000000000001,0.02411914387953414,1366.0
AMD-3465,0.129327248348857,100.5,1.9080000000000001,0.02409552780883173,1367.0
sanazole,0.122107649184038,93.0,-0.77,0.024091471467759473,1368.0
pimobendan,0.128747558715041,94.0,-0.6020000000000001,0.02405398808903514,1369.0
umeclidinium,0.162226152797868,101.0,1.024,0.023998667559381515,1370.0
indirubin,0.172727319335078,99.0,-0.098,0.0239563143364316,1371.0
TC-G-1000,0.165232104369762,94.0,-1.798,0.023943499044916994,1372.0
flindokalner,0.16542453750173,99.5,0.32999999999999996,0.023940007851088557,1373.0
ceftibuten,0.160576186348696,103.0,1.8399999999999999,0.023902648837822078,1374.0
N6022,0.065997613285844,89.0,-0.538,0.023875499194664213,1375.0
moxidectin,0.271848117213267,98.5,-3.5120000000000005,0.023862710628328492,1376.0
isoconazole,0.221864373264349,104.0,0.238,0.023850492970157584,1377.0
6-benzylaminopurine,0.1861743155624,99.0,-0.55,0.02383679198620096,1378.0
aloperine,0.199049753502761,102.0,0.18,0.023711048058069784,1379.0
fenofibric-acid,0.137300349539391,97.0,0.23600000000000004,0.02370409940405734,1380.0
daidzein,0.125800161772791,95.0,-0.176,0.02364934620876284,1381.0
alclometasone-dipropionate,0.139097786945822,98.0,0.558,0.023647906049686696,1382.0
1-octacosanol,0.11832485220959,100.0,2.002,0.023617752972938666,1383.0
nizofenone,0.147740033910569,98.0,0.274,0.023616817138357876,1384.0
SNG-1153,0.140071976892411,103.5,2.654,0.023597183208605526,1385.0
pruvanserin,0.116712928957323,98.5,1.464,0.023561787078307844,1386.0
CHC,0.159930869306761,94.5,-1.488,0.023552351977853585,1387.0
ZD-7155,0.263616069028041,98.5,-3.2939999999999996,0.02352260972806497,1388.0
S-111,0.109620648957684,97.0,1.1039999999999999,0.0235107914460575,1389.0
BMS-CCR2-22,0.07002931103777,93.5,1.012,0.02340975679680383,1390.0
Gue-1654,0.083312338813324,94.5,0.962,0.023350522933443085,1391.0
CU-T12-9,0.117013553552816,97.0,0.842,0.02335005486380426,1392.0
betrixaban,0.089324253299393,91.0,-0.592,0.02334312641918131,1393.0
S-14506,0.241410255102506,103.0,-0.866,0.023262387791237127,1394.0
SR-11302,0.171260537431098,106.0,2.56,0.023207527900212372,1395.0
ATB-346,0.117456861659256,97.0,0.8019999999999999,0.023169431542399994,1396.0
6-iodo-nordihydrocapsaicin,0.035675105457937,90.0,0.728,0.023149809038588615,1397.0
AGI-6780,0.195809451172701,101.5,0.008000000000000007,0.023128455205347415,1398.0
BTS,0.150079845866076,100.5,1.098,0.023119597225202144,1399.0
iodoquinol,0.155029864300398,99.5,0.5479999999999999,0.023107406408752824,1400.0
ufenamate,0.128595906845479,100.0,1.5939999999999999,0.023084701715470946,1401.0
amuvatinib,0.059509565030333,92.5,0.908,0.02301420089822385,1402.0
aztreonam,-0.044717867859542,94.0,4.851999999999999,0.022943539151138337,1403.0
casin,0.104961883581924,101.5,2.912,0.022882131148027656,1404.0
JLK-6,0.019334754525118,100.5,5.292,0.022868226199318015,1405.0
NBI-27914,0.142659242017476,102.5,2.068,0.02279349489752669,1406.0
putrescine,0.036401023943185,94.0,2.202,0.02276235237453328,1407.0
ITD-1,0.023539358002686,97.0,3.778,0.022730824874606797,1408.0
nomegestrol-acetate,0.146671582669761,95.0,-0.994,0.022644159781051127,1409.0
YZ9,0.064719016081973,93.5,1.0719999999999998,0.022622797366719165,1410.0
CPP,0.103356152330089,97.5,1.374,0.022618699078380544,1411.0
tiquizium,0.138407042435987,93.5,-1.318,0.022579623288011625,1412.0
NO-ASA,0.178296378321383,101.0,0.29800000000000004,0.02254772362593486,1413.0
GABA-linoleamide,0.104561700017246,97.5,1.318,0.022499031034601897,1414.0
flurbiprofen-(+/-),0.23238871562876504,106.66666666666667,0.7393333333333333,0.022490380563796375,1415.0
prulifloxacin,0.196560393834208,97.0,-1.8560000000000003,0.022472965556469233,1416.0
xanthone,0.219118878205825,104.0,0.12199999999999997,0.022408674453303228,1417.0
NSC-636819,0.191754069007192,97.5,-1.516,0.022405710080111014,1418.0
2-chloro-N6-cyclopentyladenosine,0.105508345903014,95.0,0.29000000000000004,0.02230863164221582,1419.0
L-(+)-rhamnose-monohydrate,0.232199412595607,103.5,-0.514,0.022276553120017195,1420.0
SKF-81297,0.159643652223067,97.5,-0.5,0.022245225590598345,1421.0
1-naphthyl-PP1,0.129108484456592,96.5,0.09600000000000009,0.022219136825457952,1422.0
tolazoline,0.14647493183836,99.5,0.6940000000000001,0.02218693181218645,1423.0
dosulepin,0.188375831329957,99.5,-0.6679999999999999,0.022141370675544853,1424.0
vicriviroc,0.188912442552592,100.0,-0.49399999999999994,0.02212232347208169,1425.0
butibufen,0.268118455766113,108.0,0.04400000000000004,0.022089442013495053,1426.0
zonisamide,0.164660072294049,95.5,-1.462,0.02208013235427671,1427.0
AC-186,0.09021573870711,93.0,-0.026000000000000002,0.022066010170608535,1428.0
PP-2,0.202251882215929,99.0,-1.342,0.02192291436079319,1429.0
cimetidine,0.151311941930874,97.5,-0.2780000000000001,0.02191058627420417,1430.0
Sclareolide (Norambreinolide),0.18422934584028,106.5,2.1479999999999997,0.021894565400143118,1431.0
SRT3190,0.11215041053179,99.0,1.568,0.021888737640368878,1432.0
vasopressin,0.0922895667484,95.5,0.8480000000000001,0.02186019087868026,1433.0
N-acetylmannosamine,0.179531117057044,100.5,-0.03799999999999999,0.021829769889510204,1434.0
zolmitriptan,0.126500970071998,92.5,-1.436,0.02176980279244911,1435.0
PAC-1,0.152296545663636,100.5,0.8320000000000001,0.021751911380432126,1436.0
tolbutamide,0.121099621502267,96.5,0.288,0.021746836099461153,1437.0
"2,3-cis/exo-pinanediol",0.08923947350193,95.5,0.9299999999999999,0.02174282190191031,1438.0
epicatechin-gallate-(-),0.105705183258375,100.0,2.132,0.021658973119560592,1439.0
CP-775146,0.108508305351169,96.0,0.4880000000000001,0.02165339674304619,1440.0
celecoxib,0.193442097751813,102.5,0.2619999999999999,0.02164511812035519,1441.0
torasemide,0.215501059828844,102.0,-0.646,0.021642940964832953,1442.0
JNJ-17203212,0.092707855398672,93.5,0.025999999999999978,0.021633479363683723,1443.0
chlorpromazine,0.071033635778743,98.5,2.636,0.021409383526194963,1444.0
eletriptan,0.207366266737289,102.5,-0.22199999999999998,0.021409000358095415,1445.0
rutaecarpine,0.245670220853597,105.0,-0.49399999999999994,0.021386726220976964,1446.0
acetazolamide,0.039165339538103,85.5,-1.3820000000000001,0.021386434319708585,1447.0
candesartan-cilexetil,0.130147384032237,92.5,-1.6099999999999999,0.021375341605423537,1448.0
tetracycline,0.15697932987356,100.5,0.616,0.02129780759000825,1449.0
remoxipride,0.158671042695976,98.5,-0.21800000000000005,0.02127662273494224,1450.0
perindopril,0.103685645801024,95.0,0.2,0.02125999017059081,1451.0
Hygromycin B,0.021261141598359,86.5,-0.442,0.0211939303955679,1452.0
ketotifen,0.143535640297108,101.0,1.23,0.021192358091405666,1453.0
ICG-001,0.076073704707154,93.0,0.27999999999999997,0.02099948595872107,1454.0
etafenone,0.151373952056302,97.5,-0.41600000000000004,0.02095326013088446,1455.0
GSK-J1,0.189649608752604,101.0,-0.304,0.02089546062478483,1456.0
STF-083010,0.102543993654891,98.5,1.536,0.020841898849757252,1457.0
acriflavine,0.320457634978811,108.0,-1.8299999999999996,0.020816806599428417,1458.0
halazone,0.129899881733844,95.0,-0.712,0.020809826828990758,1459.0
telcagepant,0.056066571688676,102.5,4.576,0.02072851724839501,1460.0
maltobionic-acid,0.137936082730013,92.5,-1.954,0.020727503156673193,1461.0
desoximetasone,0.06696696598915,91.0,-0.24400000000000005,0.020701378029586603,1462.0
CX-4945,0.237234218044194,103.0,-1.1,0.02066412967889771,1463.0
efaroxan,0.16476752557364,95.0,-1.862,0.020654932248031093,1464.0
chlorzoxazone,0.167921618169589,99.0,-0.41600000000000004,0.020623344984714593,1465.0
GDC-0068,0.096347886579626,96.0,0.73,0.02058762466359935,1466.0
PF-06447475,0.303582392559634,108.0,-1.3199999999999998,0.020563894705386516,1467.0
AZD1446,0.187190467712756,105.0,1.278,0.020542925154293974,1468.0
Carmofur,0.222098054292609,105.5,0.33999999999999997,0.020523375831299668,1469.0
spiradoline,0.160833945903773,99.0,-0.20199999999999996,0.020515698050021142,1470.0
oxolinic-acid,0.161852830588868,96.0,-1.4,0.02051115886047587,1471.0
telaprevir,0.229449884722524,106.5,0.488,0.020507230608861837,1472.0
isosteviol,0.144112596628032,100.0,0.722,0.020479935866705306,1473.0
AZD1981,0.186989298191664,97.0,-1.834,0.020448182128127084,1474.0
trimebutine,0.103149583828231,91.0,-1.4600000000000002,0.020381340585936325,1475.0
oxotremorine-M,0.060450361220895,89.5,-0.67,0.020316876993182003,1476.0
phthalylsulfathiazole,0.162310432829396,101.5,0.6900000000000001,0.020300555216157406,1477.0
NS-9283,0.143112789517868,98.5,0.144,0.020281789768848757,1478.0
HEMADO,0.142783831306861,96.0,-0.818,0.020265499055317937,1479.0
verinurad,0.121830811207445,98.0,0.632,0.020236571507917873,1480.0
vinpocetine,0.175953304241117,102.5,0.624,0.020210637895393013,1481.0
Encorafenib (LGX818),0.050104830487642,95.0,1.766,0.02008170534511322,1482.0
CUDC-427,0.184903196233381,101.5,-0.076,0.020053427675447155,1483.0
fosfestrol,0.110036108866022,96.0,0.20999999999999996,0.0200443529247006,1484.0
adrafinil,0.20022176596457,100.0,-1.16,0.02000953485178769,1485.0
methoxyamine,0.19223699975224,99.0,-1.2899999999999998,0.020008250460947157,1486.0
2-pyridylethylamine,0.066739233485833,104.0,4.708,0.019989882228600136,1487.0
SB-203580,0.08672891764123,95.0,0.5660000000000001,0.019974836560710234,1488.0
norgestrel,0.190627787409099,102.25,0.01799999999999997,0.019969635113064488,1489.0
ergocalciferol,0.061437859738155,93.5,0.792,0.019904516940483674,1490.0
cetirizine,0.153243246368084,98.25,-0.33899999999999997,0.019871819096109727,1491.0
nTZDpa,0.148912134212517,101.5,1.0539999999999998,0.01981169359688169,1492.0
epigallocatechin-gallate-(-),0.156186715355081,100.0,0.23599999999999993,0.019808422116732505,1493.0
DHBP,0.193350952788718,106.5,1.556,0.01980448342025276,1494.0
ceforanide,0.129988543949286,100.5,1.276,0.019797176764487112,1495.0
gidazepam,0.100752586074068,100.5,2.218,0.01977037938017549,1496.0
SKF-83566,0.118335206123954,100.0,1.4540000000000002,0.019762477289048935,1497.0
repsox,0.188143933539851,97.0,-1.972,0.01973968253147318,1498.0
ethyl-vanillin,0.190027729486699,100.0,-0.8699999999999999,0.019729467334253032,1499.0
GR-235,0.049194509379453,91.0,0.188,0.019695061844267798,1500.0
mefloquine,-0.113264539323744,112.5,13.788,0.019691539019738042,1501.0
methylatropine-nitrate,0.13056546055195,104.5,2.788,0.019643287632749695,1502.0
chloralose,0.161695027598243,103.0,1.194,0.019609943238939203,1503.0
chloroxoquinoline,0.158958755959138,99.5,-0.08600000000000003,0.019539115045780764,1504.0
bisindolylmaleimide-IX,0.089247250118784,91.0,-1.1300000000000001,0.01953835143771591,1505.0
amonafide,0.150114493940219,101.5,0.9720000000000001,0.019508273138210463,1506.0
methoxyflurane,0.105841492446868,100.0,1.8119999999999998,0.019437382421358767,1507.0
JW-67,0.177323262735541,102.5,0.466,0.01941038488317992,1508.0
pipobroman,0.2303980702787,98.5,-2.8200000000000003,0.019294495806850536,1509.0
N-acetylglycyl-D-glutamic-acid,0.127229833130768,98.0,0.31400000000000006,0.019227551807900516,1510.0
1-EBIO,0.182487277525161,92.5,-3.6100000000000003,0.019215894705318,1511.0
NSC-663284,0.142640176362264,94.0,-1.7419999999999998,0.019192787886435487,1512.0
TTP-22,0.15025191480548,103.0,1.5,0.01915805177551873,1513.0
RU-28318,0.104641768865367,104.0,3.3560000000000003,0.01910415741122821,1514.0
3-carboxy-4-hydroxyphenylglycine-(S),0.115393503738667,95.0,-0.48900000000000005,0.019076052933833004,1515.0
SU16f,0.223834288018492,105.5,0.07600000000000003,0.019060351081537624,1516.0
ligustilide,0.02791569719542,108.5,7.578,0.019056709685402923,1517.0
dehydrocholate-acid,0.231392297122386,94.75,-4.358,0.01894009923481414,1518.0
xylazine,0.24107269816405,108.0,0.45199999999999996,0.018802344034542468,1519.0
JIB04,0.053376998875534,103.0,4.578,0.018763972171612225,1520.0
diacetamate,0.115612881000741,99.5,1.206,0.018762844528484608,1521.0
beta-CCB,0.156421355877733,94.0,-2.25,0.01875515928161353,1522.0
dinoprostone,0.144492052794386,95.5,-1.2820000000000003,0.018754319742221304,1523.0
sarafloxacin,0.212568651067972,93.0,-4.456,0.01874489053526233,1524.0
daminozide,0.076457787811451,95.0,0.718,0.018705764482431737,1525.0
o-mercapto-benzoic-acid,0.20096573062851,101.0,-0.984,0.018685667553927903,1526.0
ZOLPIDEM,0.136679747340352,98.5,0.11799999999999997,0.018633748970969515,1527.0
tetrabenazine,0.158876823169182,101.5,0.5640000000000001,0.01863163569487351,1528.0
